"year","seq","dis_group","dis_subgroup","dis_type","dis_subtype","dis_subsubtype","event_name","country_name","iso","region","continent","location","origin","associated_dis","associated_dis2","aid_contribution  ('000 US$)","dis_mag_value","dis_mag_scale","latitude","longitude","local_time","river_basin","start_year","start_month","start_day","end_year","end_month","end_day","no_killed","no_injured","no_affected","no_homeless","total_affected","total_dam","reconstr_dam","insur_dam"
1905,4,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia","Central",,,,,,"kph",,,,,1905,9,21,1905,9,21,240,0,0,0,0,0,0,0
1911,1,"Natural","Geophysical","Volcano","Volcanic eruption","--","Mount Taal","Philippines","PHL","South-Eastern Asia","Asia","Manilla region",,,,,,,,,,,1911,1,31,1911,1,31,1335,199,0,0,199,0,0,0
1912,10,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia","Cebu",,,,,,"kph",,,,,1912,10,,1912,10,,0,0,0,0,0,10000,0,0
1918,11,"Natural","Geophysical","Earthquake (seismic activity)","Earthquake (ground shaking)","--",,"Philippines","PHL","South-Eastern Asia","Asia","Mindanao, South Cotabato",,,,,,"Richter","8.29N","124.40E",,,1918,8,15,1918,8,15,100,0,0,0,0,0,0,0
1931,8,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia","West Luzon",,,,,,"kph",,,,,1931,8,7,1931,8,7,0,0,0,0,0,0,0,0
1932,3,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia","Sulu",,,,,,"kph",,,,,1932,4,29,1932,4,29,147,0,0,2500,2500,0,0,0
1934,10,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia","Manila, Bulcan",,,,,,"kph",,,,,1934,10,15,1934,10,15,0,0,0,0,0,0,0,0
1934,11,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia","Samar, Tayabas",,,,,,"kph",,,,,1934,11,10,1934,11,10,85,0,0,0,0,0,0,0
1936,8,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia","Luzon",,,,,,"kph",,,,,1936,10,5,1936,10,5,517,0,0,0,0,0,0,0
1937,7,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia","Leyte, Mindoro",,,,,,"kph",,,,,1937,11,15,1937,11,15,231,0,0,0,0,0,0,0
1938,6,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia","Samar, South Luzon",,,,,,"kph",,,,,1938,12,4,1938,12,4,305,0,0,0,0,0,0,0
1940,13,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia","Cantanduanes, Bondoc",,,,,,"kph",,,,,1940,12,3,1940,12,3,73,0,0,0,0,0,0,0
1946,24,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia",,,,,,,"kph",,,,,1946,11,,1946,11,,260,0,0,0,0,0,0,0
1948,14,"Natural","Geophysical","Earthquake (seismic activity)","Earthquake (ground shaking)","--",,"Philippines","PHL","South-Eastern Asia","Asia","Panay, Iloilo city, Antique",,,,,,"Richter","13.58 N","124.20 E",,,1948,1,25,1948,1,25,27,0,0,0,0,0,0,0
1949,14,"Natural","Meteorological","Storm","Tropical cyclone","--","Rena","Philippines","PHL","South-Eastern Asia","Asia","Cebu City, Negros, Panay",,,,,,"kph",,,,,1949,10,31,1949,10,31,1000,0,0,0,0,0,0,0
1950,31,"Natural","Geophysical","Volcano","Volcanic eruption","--",,"Philippines","PHL","South-Eastern Asia","Asia",,,,,,,,,,,,1950,9,,1950,9,,84,0,0,0,0,0,0,0
1951,11,"Natural","Meteorological","Storm","Tropical cyclone","--","Iris","Philippines","PHL","South-Eastern Asia","Asia","Samar, South Luzon",,,,,,"kph",,,,,1951,4,24,1951,4,24,156,0,0,0,0,0,0,0
1951,21,"Natural","Meteorological","Storm","Tropical cyclone","--","Wanda","Philippines","PHL","South-Eastern Asia","Asia","Visayas, Bicol",,,,,,"kph",,,,,1951,11,15,1951,11,15,87,0,0,0,0,0,0,0
1951,22,"Natural","Geophysical","Volcano","Volcanic eruption","--","Hibok-Hibok","Philippines","PHL","South-Eastern Asia","Asia","Mt Catarman, Mindanao",,,,,,,,,,,1951,12,4,1951,12,4,500,0,0,0,0,0,0,0
1951,24,"Natural","Meteorological","Storm","Tropical cyclone","--","Amy","Philippines","PHL","South-Eastern Asia","Asia","Central",,,,,,"kph",,,,,1951,12,9,1951,12,9,569,0,60000,0,60000,0,0,0
1952,3,"Natural","Meteorological","Storm","Tropical cyclone","--","Emma","Philippines","PHL","South-Eastern Asia","Asia","Central",,,,,,"kph",,,,,1952,6,28,1952,6,28,19,103,0,0,103,0,0,0
1952,8,"Natural","Meteorological","Storm","Tropical cyclone","--","Trixy, Wilma","Philippines","PHL","South-Eastern Asia","Asia","Central",,,,,,"kph",,,,,1952,10,16,1952,10,16,995,349,0,0,349,50000,0,0
1954,31,"Natural","Geophysical","Earthquake (seismic activity)","Earthquake (ground shaking)","--",,"Philippines","PHL","South-Eastern Asia","Asia","Luzon, Sorsogon, Bacon, Legaspi",,,,,,"Richter","13.0 N","124.0 E",,,1954,7,2,1954,7,2,13,101,0,0,101,0,0,0
1955,2,"Natural","Geophysical","Earthquake (seismic activity)","Earthquake (ground shaking)","--",,"Philippines","PHL","South-Eastern Asia","Asia","Mindanao, Lanao, Ozamis city",,,,,,"Richter","8.29 N","124.40 E",,,1955,4,1,1955,4,1,400,2000,0,0,2000,0,0,0
1955,34,"Natural","Meteorological","Storm","--","--",,"Philippines","PHL","South-Eastern Asia","Asia",,,,,,,"kph",,,,,1955,1,,1955,1,,51,0,0,0,0,0,0,0
1955,48,"Natural","Meteorological","Storm","--","--",,"Philippines","PHL","South-Eastern Asia","Asia",,,,,,,"kph",,,,,1955,11,,1955,11,,93,0,0,0,0,0,0,0
1956,36,"Natural","Meteorological","Storm","--","--",,"Philippines","PHL","South-Eastern Asia","Asia",,,,,,,"kph",,,,,1956,7,,1956,7,,50,0,0,0,0,0,0,0
1956,52,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia",,,,,,,"kph",,,,,1956,12,,1956,12,,79,0,0,0,0,0,0,0
1957,32,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia",,,,,,,"kph",,,,,1957,7,,1957,7,,89,0,0,0,0,0,0,0
1959,49,"Natural","Meteorological","Storm","Tropical cyclone","--",,"Philippines","PHL","South-Eastern Asia","Asia",,,,,,,"kph",,,,,1959,12,,1959,12,,29,0,0,0,0,0,0,0
1960,12,"Natural","Meteorological","Storm","Tropical cyclone","--","Karen","Philippines","PHL","South-Eastern Asia","Asia","South Wet of Manilla",,,,,,"kph",,,,,1960,4,22,1960,4,22,56,0,0,0,0,2000,0,0
